Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRC,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC_per_PA,wRC_plus
417,1075327744,R. Wynn,Ryan Wynn,Wynn,Ryan,SS,Wofford College,WOF,730176512,Wofford,BBC,R,R,0.394,52.73233333333333,16.7,60,1128,283,242,0.331,0.413,0.492,0.905,0.161,17.7%,9.5%,1.85,1.8%,0.9,48.40,0.393,58.6%,0.394,80.0%,0.18633333333333332,16.91952245853452
417,1204041728,S. Alford,Slate Alford,Alford,Slate,3B,University of Georgia,UGA,226,Georgia,BBC,R,R,0.457,69.97816666666667,32.2,60,1149,293,242,0.331,0.44,0.649,1.089,0.318,17.1%,13.3%,1.28,6.5%,1.18,12.74,0.349,64.6%,0.457,100.0%,0.23883333333333334,22.00822348001331
419,1338133248,C. Miller,Cody Miller,Miller,Cody,SS,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,0.443,64.74249999999999,28.0,58,993,285,236,0.331,0.43,0.623,1.052,0.292,12.3%,9.8%,1.25,6.3%,1.09,13.11,0.321,63.1%,0.443,90.0%,0.22716666666666663,20.843023791371916
420,1310787328,D. Bravo,Damian Bravo,Bravo,Damian,RF,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,0.408,49.499999999999986,17.7,53,868,250,224,0.33,0.384,0.58,0.964,0.25,18.8%,6.4%,2.94,5.2%,0.81,17.23,0.363,62.5%,0.408,90.0%,0.19799999999999995,18.098462387863144
421,1323961088,A. Soldra,AJ Soldra,Soldra,AJ,CF,Seton Hall University,HALL,730272512,Seton Hall,BBC,L,L,0.407,51.06616666666665,18.1,54,1017,259,218,0.33,0.426,0.514,0.94,0.183,17.4%,11.6%,1.5,1.5%,0.98,54.50,0.398,59.1%,0.407,83.3%,0.19716666666666663,18.006879376280132
422,1132702208,B. Smith,Boston Smith,Smith,Boston,C,Wright State University,WRST,5390,Wright State,BBC,L,R,0.514,80.746,43.8,59,1119,282,209,0.33,0.498,0.766,1.264,0.435,18.4%,20.2%,0.91,9.2%,1.19,8.04,0.331,62.4%,0.514,72.7%,0.28633333333333333,26.550377281480163
423,1099161088,G. Sotomayor,Griffen Sotomayor,Sotomayor,Griffen,1B,Fresno State,FRES,730384384,Fresno State,BBC,R,R,0.392,43.212,13.4,52,836,234,206,0.33,0.393,0.519,0.913,0.189,12.8%,8.1%,1.58,3.0%,0.85,29.43,0.353,61.8%,0.392,88.9%,0.18466666666666667,16.74495811435887
424,1180845312,K. Ashworth,Kyle Ashworth,Ashworth,Kyle,RF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,R,0.403,46.907666666666664,16.1,52,1023,242,194,0.33,0.456,0.443,0.9,0.113,15.7%,15.3%,1.03,0.8%,0.81,97.00,0.4,58.1%,0.403,54.5%,0.19383333333333333,17.671354949846613
424,1075204352,M. Brodil,Marcus Brodil,Brodil,Marcus,RF,University of South Florida,USF,2292,South Florida,BBC,L,L,0.398,45.330333333333336,14.9,56,977,239,194,0.33,0.448,0.443,0.891,0.113,26.8%,15.5%,1.73,1.3%,0.75,64.67,0.473,51.2%,0.398,75.0%,0.18966666666666668,17.252772011294105
424,1667683494,X. Melendez,Xavier Melendez,Melendez,Xavier,1B,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,0.396,40.608,13.2,48,765,216,194,0.33,0.386,0.536,0.922,0.206,16.2%,6.0%,2.69,4.6%,0.73,19.40,0.358,62.9%,0.396,100.0%,0.18799999999999997,17.129573498974253
424,1342167953,J. Andrews,Jack Andrews,Andrews,Jack,1B,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,0.399,21.145500000000002,7.0,37,335,111,97,0.33,0.414,0.495,0.909,0.165,12.6%,8.1%,1.56,2.7%,0.51,32.33,0.362,60.0%,0.399,80.0%,0.19050000000000003,17.32476869416945
428,1186793728,A. Perez,Aaron Perez,Perez,Aaron,1B,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,L,0.393,40.439,12.7,53,822,218,191,0.33,0.408,0.492,0.9,0.162,22.0%,8.3%,2.67,3.7%,0.53,23.88,0.404,58.8%,0.393,-,0.1855,16.84415046125764
429,1155638528,T. Becerra,Temo Becerra,Becerra,Temo,SS,Stanford University,STAN,730251264,Stanford,BBC,R,R,0.352,33.29333333333332,5.7,52,817,220,185,0.33,0.384,0.427,0.811,0.097,12.7%,7.3%,1.75,0.5%,0.52,185.00,0.37,60.5%,0.352,57.1%,0.1513333333333333,13.609371478772236
430,1310844160,D. Pacheco,D.J. Pacheco,Pacheco,D.J.,LF,University of Richmond,RICH,730171904,Richmond,BBC,R,R,0.399,40.386,13.5,50,791,212,179,0.33,0.41,0.514,0.923,0.184,21.2%,6.6%,3.21,3.8%,0.78,22.38,0.397,53.4%,0.399,75.0%,0.1905,17.38638691616503
431,1150471424,K. Dossa,Kaiden Dossa,Dossa,Kaiden,CF,Yale University,YALE,730334464,Yale,BBC,R,R,0.396,40.232,13.1,45,791,214,173,0.329,0.424,0.497,0.921,0.168,25.2%,10.7%,2.35,2.3%,1.09,34.60,0.437,52.9%,0.396,80.0%,0.188,17.13995771496595
432,1105387008,J. Journette,Justin Journette,Journette,Justin,RF,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,0.45,45.668,20.3,42,540,196,167,0.329,0.429,0.635,1.063,0.305,29.1%,12.8%,2.28,7.7%,0.81,11.13,0.421,51.6%,0.45,100.0%,0.23299999999999998,21.375605245006003
433,1317344768,K. Garbowski,Kyle Garbowski,Garbowski,Kyle,1B,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,R,0.353,43.36749999999999,7.6,56,851,285,246,0.329,0.392,0.402,0.795,0.073,7.0%,7.0%,1.0,0.7%,1.02,123.00,0.346,62.3%,0.353,50.0%,0.15216666666666664,13.68512905452981
433,1020700976,O. Siegert,Owen Siegert,Siegert,Owen,TWP,South Dakota State University,SDST,730323200,South Dakota State,BBC,L,L,0.396,36.472,11.7,47,695,194,164,0.329,0.414,0.5,0.914,0.171,11.9%,10.3%,1.15,2.6%,0.64,32.80,0.355,64.5%,0.396,80.0%,0.188,17.04939022291469
435,1294968064,E. Carmichael,Easton Carmichael,Carmichael,Easton,C,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,0.427,58.59033333333333,23.5,60,1008,274,243,0.329,0.398,0.613,1.011,0.284,15.7%,9.1%,1.72,6.2%,0.85,14.29,0.341,62.2%,0.427,73.7%,0.21383333333333332,19.595104723629564
436,1310888704,W. Cresswell,Will Cresswell,Cresswell,Will,C,Washington State University,WSU,4505,Washington State,BBC,R,R,0.396,34.592,11.2,43,687,184,155,0.329,0.404,0.523,0.927,0.194,19.0%,10.3%,1.84,2.7%,0.53,31.00,0.383,58.3%,0.396,66.7%,0.188,17.10541890960227
437,1872942440,L. Gregorio,Logan Gregorio,Gregorio,Logan,LF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,R,0.443,59.06333333333333,25.6,54,924,260,231,0.329,0.4,0.654,1.054,0.325,13.1%,9.2%,1.42,6.9%,0.94,12.83,0.322,63.9%,0.443,0.0%,0.22716666666666666,20.864616234016985
438,1281616129,H. Shupe,Hudson Shupe,Shupe,Hudson,2B,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,R,0.349,37.20833333333332,5.8,53,897,250,228,0.329,0.382,0.417,0.798,0.088,8.4%,6.0%,1.4,1.2%,0.77,76.00,0.351,63.9%,0.349,80.0%,0.1488333333333333,13.338462387863142
439,1309420032,E. Mendoza,Ethan Mendoza,Mendoza,Ethan,2B,University of Texas,TEX,245,Texas,BBC,R,R,0.397,50.60733333333333,16.6,56,1153,268,225,0.329,0.433,0.471,0.904,0.142,17.5%,13.4%,1.31,1.9%,0.95,45.00,0.397,56.9%,0.397,100.0%,0.18883333333333333,17.21249223860941
439,1287366144,G. Mitchell,Gable Mitchell,Mitchell,Gable,SS,University of Iowa,IOWA,1232,Iowa,BBC,S,R,0.393,50.2705,15.9,56,1004,271,225,0.329,0.421,0.476,0.897,0.147,7.0%,11.4%,0.61,1.8%,0.93,45.00,0.338,65.7%,0.393,92.3%,0.1855,16.88562105944986
439,1061039381,J. Souders,Jake Souders,Souders,Jake,RF,Samford University,SAM,730386432,Samford,BBC,R,R,0.389,46.088166666666666,13.9,57,928,253,225,0.329,0.395,0.502,0.897,0.173,19.4%,9.9%,1.96,3.2%,0.89,28.13,0.388,58.2%,0.389,93.3%,0.18216666666666667,16.512533534108204
442,1085399040,L. Meola,Lorenzo Meola,Meola,Lorenzo,SS,Stetson University,STET,730261504,Stetson,BBC,R,R,0.404,49.83466666666667,17.1,56,983,256,222,0.329,0.406,0.536,0.942,0.207,18.0%,11.3%,1.59,4.3%,0.86,20.18,0.369,60.1%,0.404,83.3%,0.19466666666666668,17.698149887863146
442,1310404864,A. Lopez,Adrian Lopez,Lopez,Adrian,LF,University of Southern California,USC,5047,USC,BBC,R,R,0.406,49.279666666666664,17.4,58,946,251,222,0.329,0.4,0.55,0.95,0.221,17.5%,8.4%,2.1,3.2%,0.55,27.75,0.38,61.4%,0.406,100.0%,0.19633333333333333,17.9507333041978
444,1197623808,C. Smith,Christian Smith,Smith,Christian,C,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,0.444,59.736,26.0,56,913,262,219,0.329,0.435,0.612,1.047,0.283,15.6%,13.7%,1.14,5.7%,0.88,14.60,0.348,64.0%,0.444,60.0%,0.22799999999999998,20.94212651000055
444,1888313665,K. Lodise,Kyle Lodise,Lodise,Kyle,SS,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,0.455,63.086333333333336,28.7,55,1036,266,219,0.329,0.429,0.667,1.095,0.338,17.7%,12.8%,1.38,6.0%,1.24,13.69,0.348,62.1%,0.455,100.0%,0.23716666666666666,21.80793607207367
446,1725006698,A. Irizarry,Alex Irizarry,Irizarry,Alex,SS,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,R,0.433,52.73883333333333,21.7,52,852,241,216,0.329,0.39,0.639,1.029,0.31,17.4%,7.5%,2.33,6.2%,0.77,14.40,0.348,63.4%,0.433,60.0%,0.21883333333333332,20.022611765456507
447,1253268027,B. Primrose,Blake Primrose,Primrose,Blake,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,0.385,30.043999999999997,8.7,42,622,168,143,0.329,0.399,0.497,0.895,0.168,16.7%,10.7%,1.56,3.0%,0.52,28.60,0.365,63.5%,0.385,100.0%,0.17883333333333332,16.19703381643457
448,1162239232,A. Jimenez,Antonio Jimenez,Jimenez,Antonio,SS,University of Central Florida,UCF,730256640,Central Florida,BBC,S,R,0.415,49.32766666666666,18.5,55,869,242,207,0.329,0.407,0.575,0.982,0.246,19.0%,10.3%,1.84,4.5%,1.0,18.82,0.37,59.1%,0.415,84.6%,0.2038333333333333,18.663090487036698
449,1465368002,B. Johnson,Blaize Johnson,Johnson,Blaize,LF,UNC Asheville,UNCA,1570,UNC Asheville,BBC,L,R,0.403,30.819499999999998,10.6,41,595,159,137,0.328,0.396,0.555,0.951,0.226,17.6%,9.4%,1.87,3.8%,0.41,22.83,0.364,62.6%,0.403,33.3%,0.19383333333333333,17.685129054529806
450,1279488512,K. Wagner,Kai Wagner,Wagner,Kai,3B,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,L,R,0.428,53.666666666666664,21.6,51,980,250,204,0.328,0.436,0.574,1.01,0.245,11.2%,14.4%,0.78,4.0%,0.88,20.40,0.335,63.5%,0.428,100.0%,0.21466666666666664,19.65846238786314
451,1590045009,Z. Goodwin,Zak Goodwin,Goodwin,Zak,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,R,0.4,33.866,11.4,39,707,177,134,0.328,0.477,0.396,0.872,0.067,11.9%,15.8%,0.75,1.1%,0.74,67.00,0.378,59.5%,0.4,100.0%,0.19133333333333333,17.459140353964838
452,1086062336,C. Westenburg,Conner Westenburg,Westenburg,Conner,CF,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,0.424,49.452,19.5,47,736,234,198,0.328,0.429,0.561,0.99,0.232,12.8%,7.7%,1.67,3.0%,1.28,28.29,0.36,62.1%,0.424,86.7%,0.21133333333333332,19.351795721196474
453,1193086391,W. Moore,Will Moore,Moore,Will,3B,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,0.422,39.41733333333333,15.3,44,730,188,131,0.328,0.514,0.389,0.903,0.061,12.8%,18.1%,0.71,0.5%,0.8,131.00,0.393,58.9%,0.422,85.7%,0.20966666666666667,19.15676026020357
454,1172414720,J. Osterhouse,Justin Osterhouse,Osterhouse,Justin,2B,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,0.456,57.833999999999996,26.5,52,895,243,195,0.328,0.453,0.636,1.089,0.308,16.9%,12.8%,1.32,6.6%,0.98,12.19,0.343,63.6%,0.456,81.3%,0.238,21.923812182101827
454,1099893760,I. Lane,Isaiah Lane,Lane,Isaiah,SS,University of San Diego,USD,5320,San Diego,BBC,R,R,0.43,53.001666666666665,21.5,52,1015,245,195,0.328,0.457,0.528,0.985,0.2,17.6%,13.9%,1.26,3.3%,1.02,24.38,0.386,57.9%,0.43,66.7%,0.21633333333333332,19.793972591944776
456,1890491822,J. Campbell,Jay Campbell,Campbell,Jay,3B,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,0.417,47.67599999999999,18.0,55,625,232,189,0.328,0.439,0.524,0.963,0.196,19.0%,14.7%,1.29,2.2%,0.84,37.80,0.401,57.7%,0.417,87.5%,0.20549999999999996,18.777083077518313
457,1342169604,H. Warren,Hunter Warren,Warren,Hunter,2B,Wright State University,WRST,5390,Wright State,BBC,R,R,0.372,50.23199999999999,12.5,61,1040,299,250,0.328,0.423,0.408,0.831,0.08,13.0%,11.4%,1.15,0.3%,0.89,250.00,0.379,60.3%,0.372,72.7%,0.16799999999999998,15.199064394552108
458,1309501696,K. Morse,Krayton Morse,Morse,Krayton,C,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,0.369,35.9135,8.6,47,724,217,186,0.328,0.412,0.414,0.826,0.086,10.6%,7.8%,1.35,0.5%,0.68,186.00,0.366,61.6%,0.369,-,0.1655,14.981596028416138
459,1771426309,C. Yeaman,Colin Yeaman,Yeaman,Colin,SS,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,0.434,66.77866666666667,27.7,60,1154,304,247,0.328,0.44,0.579,1.019,0.251,17.4%,12.5%,1.39,4.3%,1.03,19.00,0.375,60.3%,0.434,75.0%,0.21966666666666668,20.1303044931263
460,1178073344,A. Taurek,Aiden Taurek,Taurek,Aiden,LF,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,0.417,56.10149999999999,21.2,61,944,273,235,0.328,0.41,0.57,0.98,0.243,9.5%,9.5%,1.0,4.0%,0.9,21.36,0.328,65.2%,0.417,77.8%,0.20549999999999996,18.78403015343091
461,1297347328,A. Guzman,Adonys Guzman,Guzman,Adonys,C,University of Arizona,ARIZ,232,Arizona,BBC,R,R,0.395,50.722166666666666,16.3,62,1012,271,232,0.328,0.411,0.496,0.907,0.168,11.8%,10.0%,1.19,3.3%,0.69,25.78,0.345,64.9%,0.395,-,0.18716666666666668,17.03322253546462
461,1177976320,B. Johnson,Brayden Johnson,Johnson,Brayden,LF,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,0.392,39.334,12.2,52,679,213,174,0.328,0.429,0.46,0.888,0.132,18.3%,11.3%,1.63,1.4%,0.56,58.00,0.4,57.8%,0.392,75.0%,0.18466666666666667,16.746161918379578
461,1042959841,T. Rover,Tommy Rover,Rover,Tommy,3B,Youngstown State University,YSU,730284544,Youngstown State,BBC,S,R,0.461,54.003166666666665,25.2,47,814,223,174,0.328,0.475,0.598,1.073,0.27,11.7%,13.5%,0.87,5.4%,0.98,14.50,0.331,63.2%,0.461,100.0%,0.24216666666666667,22.318910818356418
464,1198540800,R. Johnson,Rett Johnson,Johnson,Rett,LF,University of South Alabama,USA,730298880,South Alabama,BBC,L,R,0.37,33.26666666666666,8.0,46,717,200,171,0.327,0.401,0.439,0.84,0.111,18.0%,9.5%,1.89,1.5%,0.63,57.00,0.402,58.3%,0.37,75.0%,0.1663333333333333,15.018462387863146
465,1104495104,M. Heusohn,Marcus Heusohn,Heusohn,Marcus,1B,McNeese State University,MCNS,730285056,McNeese State,BBC,L,L,0.404,41.269333333333336,14.3,48,849,212,168,0.327,0.45,0.464,0.915,0.137,12.3%,16.0%,0.76,0.9%,0.65,84.00,0.371,62.2%,0.404,100.0%,0.19466666666666668,17.76374540673107
465,1123497984,J. Holder,Jaxon Holder,Holder,Jaxon,SS,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,0.412,40.870666666666665,15.0,51,739,203,168,0.327,0.433,0.518,0.951,0.19,13.8%,15.3%,0.9,3.0%,0.88,28.00,0.36,63.2%,0.412,92.9%,0.20133333333333334,18.407624949439498
467,1085293568,G. Donohue,Gavin Donohue,Donohue,Gavin,SS,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,0.395,47.166000000000004,15.1,51,875,252,223,0.327,0.397,0.52,0.917,0.193,14.7%,9.1%,1.61,2.8%,1.06,31.86,0.365,59.7%,0.395,91.7%,0.18716666666666668,17.010525879926636
468,1237355776,J. Hogue,Josh Hogue,Hogue,Josh,LF,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,0.404,48.27733333333334,16.7,55,845,248,217,0.327,0.391,0.562,0.953,0.235,13.7%,9.7%,1.42,4.4%,0.8,19.73,0.339,65.0%,0.404,100.0%,0.19466666666666668,17.752333355605078
469,1085384448,K. Neri,Kyle Neri,Neri,Kyle,LF,Rider University,RID,730174976,Rider,BBC,R,R,0.399,47.8155,15.8,52,854,251,214,0.327,0.418,0.495,0.914,0.168,14.3%,9.6%,1.5,2.4%,0.87,35.67,0.368,59.8%,0.399,69.2%,0.1905,17.31328310499462
470,1196300536,R. Lordier,Ryan Lordier,Lordier,Ryan,2B,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,0.38,33.536,9.2,47,625,192,159,0.327,0.44,0.396,0.836,0.069,8.9%,14.1%,0.63,0.5%,0.83,159.00,0.362,56.7%,0.38,88.9%,0.17466666666666666,15.81012905452981
470,1218142949,N. Traeger,Nolan Traeger,Traeger,Nolan,C,Texas Christian University,TCU,5045,TCU,BBC,L,R,0.397,35.689499999999995,11.6,47,753,189,159,0.327,0.429,0.472,0.9,0.145,15.3%,11.1%,1.38,1.6%,0.62,53.00,0.383,60.2%,0.397,66.7%,0.1888333333333333,17.156028525429278
472,1191743488,L. Hughes,Logan Hughes,Hughes,Logan,LF,Texas Tech University,TTU,2350,Texas Tech,BBC,L,L,0.458,58.958,27.1,52,866,246,211,0.327,0.411,0.697,1.107,0.37,9.8%,10.6%,0.92,7.7%,1.0,11.11,0.292,67.3%,0.458,60.0%,0.23966666666666667,22.03472255046477
473,1331919360,M. White,Mason White,White,Mason,SS,University of Arizona,ARIZ,232,Arizona,BBC,L,R,0.456,71.87599999999999,32.8,65,1141,302,257,0.327,0.412,0.689,1.101,0.362,21.5%,8.3%,2.6,6.6%,0.97,12.85,0.364,62.5%,0.456,80.0%,0.23799999999999996,21.87938954018102
474,1204037632,C. Pena,Carlos Pena,Pena,Carlos,1B,Indiana State University,INST,730350080,Indiana State,BBC,L,R,0.452,59.135999999999996,26.6,55,921,252,205,0.327,0.444,0.624,1.068,0.298,21.4%,13.5%,1.59,6.0%,0.8,13.67,0.38,59.9%,0.452,80.0%,0.23466666666666666,21.5740179434187
475,1746936435,M. Bailey,Myles Bailey,Bailey,Myles,1B,Florida State University,FSU,101,Florida State,BBC,L,R,0.463,59.73916666666667,28.1,56,975,245,202,0.327,0.441,0.663,1.104,0.337,31.0%,13.1%,2.38,7.8%,0.89,10.63,0.435,55.6%,0.463,80.0%,0.24383333333333335,22.487850142965183
475,1858680066,J. Claiborn,Jason Claiborn,Claiborn,Jason,1B,Marist College,MRST,730374656,Marist,BBC,L,L,0.399,48.9585,16.2,54,933,257,202,0.327,0.461,0.421,0.881,0.094,15.2%,16.3%,0.93,0.8%,0.72,101.00,0.395,56.2%,0.399,95.5%,0.1905,17.321964333388433
477,1257342976,I. Landry,Isaiah Landry,Landry,Isaiah,CF,Alabama State University,ALST,4765,Alabama State,BBC,R,R,0.354,34.42499999999999,6.2,53,750,225,196,0.327,0.39,0.408,0.798,0.082,11.6%,8.0%,1.44,0.4%,0.94,196.00,0.371,57.6%,0.354,93.8%,0.15299999999999997,13.774017943418698
477,1870143898,J. Sanchez,Jacob Sanchez,Sanchez,Jacob,1B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,0.406,47.31633333333333,16.6,52,916,241,196,0.327,0.437,0.485,0.922,0.158,13.7%,12.4%,1.1,3.3%,0.96,24.50,0.357,61.8%,0.406,100.0%,0.19633333333333333,17.9064291928424
479,1291197952,K. Edwards,Kameron Edwards,Edwards,Kameron,CF,Lindenwood University,LU,730322176,Lindenwood,BBC,L,L,0.405,46.529,16.2,49,916,238,193,0.326,0.444,0.472,0.916,0.145,15.1%,16.0%,0.95,1.7%,0.92,48.25,0.386,58.8%,0.405,77.8%,0.1955,17.82518507693877
480,1446969335,J. Gonzalez Perez,Jonathan Gonzalez Perez,Gonzalez Perez,Jonathan,C,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,U,U,0.336,21.39,2.0,38,349,155,144,0.326,0.359,0.403,0.762,0.076,16.1%,2.6%,6.25,0.0%,0.53,-,0.392,58.3%,0.336,100.0%,0.138,12.308784968508306
481,1172325888,M. Moris,Max Moris,Moris,Max,C,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,0.391,40.44333333333333,12.4,50,826,220,190,0.326,0.414,0.479,0.893,0.153,12.7%,12.3%,1.04,1.8%,0.74,47.50,0.365,61.6%,0.391,100.0%,0.18383333333333332,16.654826024226782
482,1474632051,L. Rice,Lew Rice,Rice,Lew,CF,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,R,0.442,40.74,17.6,46,688,180,141,0.326,0.464,0.567,1.031,0.241,11.1%,19.4%,0.57,3.3%,0.85,23.50,0.345,62.9%,0.442,71.4%,0.22633333333333333,20.796240165640924
483,1263647744,J. Thorbahn,Jack Thorbahn,Thorbahn,Jack,1B,Stonehill College,SC,730238464,Stonehill,BBC,L,R,0.474,60.72,29.5,52,821,240,187,0.326,0.473,0.647,1.12,0.321,21.3%,17.9%,1.19,6.7%,1.04,11.69,0.375,60.0%,0.474,100.0%,0.253,23.31012905452981
484,1283569920,C. McMurray,Cooper McMurray,McMurray,Cooper,1B,Auburn University,AUB,5466,Auburn,BBC,L,L,0.434,61.72633333333333,25.5,61,1142,281,233,0.326,0.431,0.588,1.019,0.262,23.5%,13.9%,1.69,5.0%,0.82,16.64,0.397,59.6%,0.434,-,0.21966666666666665,20.093195483948552
485,1092689920,D. Cash,Donovan Cash,Cash,Donovan,3B,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,0.447,62.696,27.7,58,991,272,230,0.326,0.419,0.661,1.08,0.335,16.9%,13.6%,1.24,6.6%,0.86,12.78,0.337,62.7%,0.447,80.0%,0.23049999999999998,21.20228591727491
485,1155635456,W. Weber,Wilson Weber,Weber,Wilson,C,Oregon State University,ORST,3111,Oregon State,BBC,R,R,0.415,53.812,20.1,63,1067,264,230,0.326,0.407,0.565,0.972,0.239,22.3%,10.2%,2.19,4.5%,0.71,19.17,0.394,59.4%,0.415,100.0%,0.2038333333333333,18.63209875149951
485,1281951232,S. Dardar,Seth Dardar,Dardar,Seth,1B,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,0.448,50.662,22.4,50,774,219,184,0.326,0.429,0.636,1.065,0.31,18.7%,11.4%,1.64,5.9%,0.78,14.15,0.359,61.8%,0.448,85.7%,0.23133333333333334,21.246772890146246
485,1549740470,N. Book,Nolan Book,Book,Nolan,SS,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,0.382,38.440666666666665,10.9,50,674,218,184,0.326,0.417,0.446,0.863,0.12,11.9%,8.7%,1.37,1.8%,0.66,46.00,0.357,62.4%,0.382,92.9%,0.17633333333333331,16.018462387863142
489,1275426560,J. Waldon,JT Waldon,Waldon,JT,1B,University of the Pacific,PAC,730386944,Pacific,BBC,L,L,0.372,34.943999999999996,8.7,52,819,208,181,0.326,0.394,0.464,0.858,0.138,23.1%,8.2%,2.82,1.9%,0.48,45.25,0.414,56.4%,0.372,100.0%,0.16799999999999998,15.201154695555452
489,1028639305,A. Espaillat,Alex Espaillat,Espaillat,Alex,2B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,0.364,34.52533333333333,7.5,45,684,214,181,0.326,0.405,0.414,0.819,0.088,15.0%,9.3%,1.6,0.5%,0.73,181.00,0.384,58.3%,0.364,60.0%,0.1613333333333333,14.523135285059407
491,1273289728,D. King,Dylan King,King,Dylan,C,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,0.461,40.441833333333335,18.9,43,667,167,135,0.326,0.442,0.652,1.094,0.326,12.6%,11.4%,1.11,5.4%,0.79,15.00,0.333,65.7%,0.461,100.0%,0.24216666666666667,22.33582765732422
492,1334300928,J. Vos,Joe Vos,Vos,Joe,CF,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,L,0.399,37.9095,12.5,50,742,199,178,0.326,0.388,0.539,0.927,0.213,24.6%,8.5%,2.88,3.5%,0.72,25.43,0.418,55.7%,0.399,81.8%,0.1905,17.29986942303902
493,1662602223,J. Ince,Jeffrey Ince,Ince,Jeffrey,2B,Samford University,SAM,730386432,Samford,BBC,R,R,0.427,58.59033333333333,23.5,56,1020,274,221,0.326,0.442,0.548,0.99,0.222,17.9%,13.5%,1.32,3.6%,1.07,22.10,0.38,58.3%,0.427,95.2%,0.21383333333333332,19.595104723629564
494,1835124967,C. Jenkins,Carter Jenkins,Jenkins,Carter,3B,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,0.346,21.949999999999992,3.2,41,555,150,132,0.326,0.383,0.402,0.784,0.076,14.0%,7.3%,1.91,0.7%,0.34,132.00,0.372,60.2%,0.346,-,0.1463333333333333,13.15179572119648
495,1342166725,J. Polledo,Jeter Polledo,Polledo,Jeter,SS,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,0.399,38.6715,12.8,52,678,203,175,0.326,0.391,0.549,0.94,0.223,15.3%,6.4%,2.38,3.0%,0.67,29.17,0.357,62.2%,0.399,77.8%,0.1905,17.323881107074968
496,1099860992,C. Taggart,Casen Taggart,Taggart,Casen,1B,University of Washington,WASH,3110,Washington,BBC,R,R,0.42,47.00799999999999,18.1,50,1015,226,172,0.326,0.469,0.494,0.963,0.169,16.4%,20.4%,0.8,2.7%,0.76,28.67,0.376,61.7%,0.42,69.2%,0.20799999999999996,19.027311945385268
496,1092719616,C. Beattie,Chase Beattie,Beattie,Chase,C,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,0.423,30.732999999999993,12.1,45,521,146,129,0.326,0.393,0.605,0.998,0.279,22.6%,4.8%,4.71,5.5%,0.53,16.13,0.382,58.4%,0.423,100.0%,0.21049999999999996,19.30613362073985
